127.0.0.1 - - [20/Sep/2022:14:32:47 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [20/Sep/2022:14:33:26 -0300] "GET /gerenciador/novaEmpresa?nome=Alura HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [20/Sep/2022:14:33:27 -0300] "GET /gerenciador/novaEmpresa?nome=Alura HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [20/Sep/2022:14:33:54 -0300] "GET /gerenciador/novaEmpresa?nome=Alura HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [20/Sep/2022:14:33:56 -0300] "GET /gerenciador/novaEmpresa?nome=Alura HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [20/Sep/2022:14:33:57 -0300] "GET /gerenciador/novaEmpresa?nome=Alura HTTP/1.1" 200 67
0:0:0:0:0:0:0:1 - - [20/Sep/2022:14:43:32 -0300] "GET /gerenciador/oi HTTP/1.1" 200 76
0:0:0:0:0:0:0:1 - - [20/Sep/2022:14:53:47 -0300] "GET /gerenciador/novaEmpresa?nome=Alura HTTP/1.1" 200 67
0:0:0:0:0:0:0:1 - - [20/Sep/2022:15:55:16 -0300] "GET /gerenciador/novaEmpresa?nome=Fortaleza3 HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [20/Sep/2022:15:55:42 -0300] "GET /gerenciador/novaEmpresa?nome=Fortaleza3 HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [20/Sep/2022:15:55:47 -0300] "GET /gerenciador/novaEmpresa?nome=Fortaleza3 HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [20/Sep/2022:15:55:51 -0300] "GET /gerenciador/novaEmpresa?nome=Fortaleza HTTP/1.1" 200 69
