127.0.0.1 - - [13/Oct/2022:22:07:07 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [13/Oct/2022:22:07:31 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [13/Oct/2022:22:07:32 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [13/Oct/2022:22:07:41 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Oct/2022:22:07:41 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [13/Oct/2022:22:07:47 -0300] "GET /gerenciador/removeEmpresa?id=3 HTTP/1.1" 500 1371
0:0:0:0:0:0:0:1 - - [13/Oct/2022:22:07:51 -0300] "GET /gerenciador/removeEmpresa?id=2 HTTP/1.1" 500 1371
0:0:0:0:0:0:0:1 - - [13/Oct/2022:22:35:53 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 436
0:0:0:0:0:0:0:1 - - [13/Oct/2022:22:35:55 -0300] "GET /gerenciador/removeEmpresa?id=2 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Oct/2022:22:35:59 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [13/Oct/2022:22:36:00 -0300] "GET /gerenciador/removeEmpresa?id=1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Oct/2022:22:36:02 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [13/Oct/2022:22:38:03 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Oct/2022:22:38:03 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [13/Oct/2022:22:38:04 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [13/Oct/2022:22:38:05 -0300] "GET /gerenciador/removeEmpresa?id=3 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Oct/2022:22:38:10 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [13/Oct/2022:22:38:15 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Oct/2022:22:38:15 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [13/Oct/2022:22:38:18 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [13/Oct/2022:22:38:19 -0300] "GET /gerenciador/removeEmpresa?id=4 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Oct/2022:22:39:59 -0300] "GET /gerenciador/removeEmpresa?id=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Oct/2022:22:39:59 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 436
0:0:0:0:0:0:0:1 - - [13/Oct/2022:22:40:01 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 436
0:0:0:0:0:0:0:1 - - [13/Oct/2022:22:40:03 -0300] "GET /gerenciador/removeEmpresa?id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Oct/2022:22:40:03 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 325
